"cntrycode","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"AT",0.121606948968512,0.136123987304769,0.150641025641026,0.184365738951166,0.218090452261307,0.212403043549331,0.206715634837356,0.213214080252353,0.219712525667351
"BE",0.216454456415279,0.192734270461161,0.169014084507042,0.181870125417821,0.1947261663286,0.177658649666763,0.160591133004926,0.161271176258561,0.161951219512195
"BG",0.152439024390244,0.161214265605405,0.169989506820567,0.148593512458887,0.127197518097208,0.149154314604159,0.171111111111111,0.140446859903382,0.109782608695652
"CY",0.0483193277310924,0.104444216711075,0.160569105691057,0.164634146341463,0.16869918699187,0.165815988607951,0.162932790224033,0.137134411306348,0.111336032388664
"CZ",0.208588957055215,0.2159199929309,0.223251028806584,0.248368729434607,0.27348643006263,0.27846769471417,0.283448959365709,0.241524878884451,0.199600798403194
"DE",0.224609375,0.211719892178363,0.198830409356725,0.194669675104772,0.19050894085282,0.181261296364976,0.172013651877133,0.152938568814643,0.133863485752154
"DK",0.304828973843058,0.291949370642459,0.27906976744186,0.27603488372093,0.273,0.211779755849441,0.150559511698881,0.140518799674142,0.130478087649402
"EE",0.439148073022312,0.48321040014752,0.527272727272727,0.529008531921153,0.530744336569579,0.475898484074263,0.421052631578947,0.377553342816501,0.334054054054054
"ES",0.1,0.108151093439364,0.116302186878728,0.111578512794203,0.106854838709677,0.0988370935897844,0.0908193484698914,0.0824467112719827,0.0740740740740741
"FI",0.335329341317365,0.323335966954979,0.311342592592593,0.267356921942625,0.223371251292658,0.209591384808633,0.195811518324607,0.193672954929499,0.191534391534392
"FR",0.185537583254044,0.217518290625018,0.249498997995992,0.217796533762822,0.186094069529652,0.163748967623422,0.141403865717192,0.134123761767151,0.126843657817109
"GB",0.375886524822695,0.398105864037364,0.420325203252033,0.388074248212362,0.355823293172691,0.323679671664715,0.29153605015674,0.24215977765569,0.192783505154639
"GR",0.0524691358024691,0.0752244668911336,0.097979797979798,0.0862184408720086,0.0744570837642192,0.0737887890499778,0.0731204943357363,0.0591939920238353,0.0452674897119342
"HR",NA,NA,0.214212152420185,0.200352043952028,0.186491935483871,0.20223912512219,0.217986314760508,0.200126162306363,0.182266009852217
"HU",0.133133133133133,0.127076120706694,0.121019108280255,0.140099397890127,0.1591796875,0.131961385251976,0.104743083003953,0.0940800842155441,0.0834170854271357
"IE",0.265438786565547,0.298344393282774,0.33125,0.303485082304527,0.275720164609054,0.243920688365133,0.212121212121212,0.172759729721755,0.133398247322298
"IT",0.120758483033932,0.10050269830709,0.0802469135802469,0.0884618253701839,0.0966767371601208,0.0967090406778201,0.0967413441955193,0.0934157171428047,0.0900900900900901
"LT",0.297808764940239,0.287014455159631,0.276220145379024,0.283022714005031,0.289825282631038,0.255740016187838,0.221654749744637,0.215982014047576,0.210309278350515
"LU",0.193089430894309,0.206202663133271,0.219315895372233,0.217163018680032,0.21501014198783,0.193711967545639,0.172413793103448,0.1569036178632,0.141393442622951
"LV",0.279324055666004,0.365435223709291,0.451546391752577,0.454479820481967,0.457413249211356,0.407427798609871,0.357442348008386,0.321961517351832,0.286480686695279
"MT",0.129817444219067,0.152258119699895,0.174698795180723,0.162650602409639,0.150602409638554,0.141090678503488,0.131578947368421,0.0918311403508772,0.0520833333333333
"NL",0.282786885245902,0.275638630059628,0.268490374873354,0.255146826780939,0.241803278688525,0.193343381998771,0.144883485309017,0.162351832564599,0.17982017982018
"PL",0.238900634249471,0.256252892232032,0.273605150214592,0.280572543158414,0.287539936102236,0.294529187140055,0.301518438177874,0.239755982842982,0.177993527508091
"PT",0.172380019588639,0.154161173543032,0.135942327497425,0.131129058485555,0.126315789473684,0.115016994541147,0.103718199608611,0.0865381888312204,0.0693581780538302
"RO",0.166981132075472,0.21479849600684,0.262615859938208,0.21702221568339,0.171428571428571,0.178875831799519,0.186323092170466,0.193649350963282,0.200975609756098
"SE",0.251,0.225091419816139,0.199182839632278,0.193522055654289,0.187861271676301,0.154012102233262,0.120162932790224,0.12529885769946,0.130434782608696
"SI",0.145896656534954,0.152122992374963,0.158349328214971,0.185568794086521,0.212788259958071,0.210034170423929,0.207280080889788,0.171358981381757,0.135437881873727
"SK",0.0889787664307381,0.106003578798965,0.123028391167192,0.157648478391328,0.192268565615463,0.197899599526319,0.203530633437176,0.169386244655409,0.135241855873643
